Nome Cliente;Marca;Modelo;Método Pagamento;Bairro;Entrada;Saída
Marcela Carvalho;Hyundai;HB20;Dinheiro;Jardim Botânico;2023-12-19 14:24:29;2023-12-19 16:24:29
Nadia Pereira;Volkswagen;Polo;Dinheiro;Copacabana;2024-03-28 22:16:00;2024-03-29 10:16:00
Daniel Ferreira;Ford;Ka;Cartão;Gávea;2024-07-04 00:22:14;2024-07-04 10:22:14
Rosana Moreira;Fiat;Uno;Cartão;Bangu;2023-01-22 07:39:27;2023-01-22 13:39:27
Sofia Campos;Toyota;Corolla;Dinheiro;Copacabana;2024-03-24 22:19:13;2024-03-25 14:19:13
Renato Rodrigues;Jeep;Renegade;Dinheiro;Jardim Botânico;2023-12-21 15:30:59;2023-12-21 22:30:59
Luísa Vieira;Volkswagen;Polo;Cartão;Recreio dos Bandeirantes;2023-09-01 00:27:26;2023-09-01 10:27:26
Marcos Oliveira;Hyundai;Creta;App;Urca;2023-05-05 06:38:18;2023-05-06 00:38:18
Ricardo Freitas;Nissan;March;Cartão;Leblon;2023-04-18 06:11:38;2023-04-18 18:11:38
Nicolas Gonçalves;Hyundai;HB20;App;Botafogo;2024-07-27 08:31:38;2024-07-28 00:31:38
Enzo Fernandes;Nissan;March;Dinheiro;Leblon;2024-10-10 19:01:43;2024-10-11 05:01:43
Joaquim Miranda;Renault;Duster;Dinheiro;Tijuca;2023-09-26 20:42:18;2023-09-26 23:42:18
Joaquim Alves;Volkswagen;Polo;Cartão;Lapa;2024-04-29 00:47:03;2024-04-29 09:47:03
Felipe Moraes;Ford;Ka;App;Bangu;2023-02-20 09:05:31;2023-02-20 13:05:31
Diego Ferreira;Volkswagen;Gol;Cartão;Madureira;2024-12-14 05:19:34;2024-12-14 16:19:34
Laura Miranda;Toyota;Yaris;Dinheiro;Santa Teresa;2023-04-27 17:57:13;2023-04-28 05:57:13
Emily Lopes;Volkswagen;Polo;App;Copacabana;2024-02-02 15:12:24;2024-02-03 07:12:24
Renata Ferreira;Chevrolet;Cruze;Dinheiro;Glória;2024-02-05 23:52:36;2024-02-06 16:52:36
Thiago Ribeiro;Fiat;Argo;App;Tijuca;2023-07-07 17:10:21;2023-07-08 08:10:21
Gabriel Ferreira;Hyundai;Creta;Dinheiro;Taquara;2024-08-16 07:37:53;2024-08-16 13:37:53
Caio Miranda;Chevrolet;Cruze;Cartão;Sulacap;2024-08-08 19:53:20;2024-08-08 22:53:20
Paula Garcia;Fiat;Argo;Cartão;Méier;2024-10-21 16:22:32;2024-10-21 20:22:32
Pedro Medeiros;Renault;Sandero;App;Ipanema;2023-03-07 12:24:12;2023-03-07 17:24:12
Isadora Ferraz;Renault;Duster;Cartão;Méier;2023-04-27 14:19:47;2023-04-27 16:19:47
Emily Barbosa;Ford;Ka;App;Vila Isabel;2024-11-23 11:20:55;2024-11-23 13:20:55
Eliane Oliveira;Nissan;Kicks;Cartão;Copacabana;2023-04-17 02:44:41;2023-04-17 13:44:41
Mateus Ribeiro;Volkswagen;Gol;Dinheiro;Catete;2023-01-12 04:46:26;2023-01-12 05:46:26
Davi Neves;Volkswagen;Polo;Cartão;Centro;2024-06-27 06:54:16;2024-06-27 10:54:16
Letícia Rocha;Toyota;Corolla;App;Madureira;2024-01-29 04:49:17;2024-01-29 12:49:17
Renato Lopes;Fiat;Uno;Cartão;Copacabana;2024-09-20 16:18:36;2024-09-21 03:18:36
Raquel Marques;Fiat;Uno;App;Centro;2024-04-09 03:33:44;2024-04-09 06:33:44
Nina Souza;Volkswagen;Polo;App;Madureira;2023-05-01 20:36:43;2023-05-02 04:36:43
Vitor Medeiros;Toyota;Corolla;Cartão;Vila Isabel;2024-08-25 03:29:48;2024-08-25 10:29:48
Fernando Duarte;Hyundai;Creta;Cartão;Ipanema;2024-09-10 01:20:52;2024-09-10 10:20:52
José Batista;Nissan;Kicks;Dinheiro;Sulacap;2024-11-28 02:42:20;2024-11-28 03:42:20
Rafaela Oliveira;Toyota;Corolla;App;Bangu;2023-12-26 10:06:07;2023-12-26 20:06:07
Cristiane Barros;Fiat;Argo;Cartão;Botafogo;2023-02-08 01:29:40;2023-02-08 02:29:40
Alessandra Medeiros;Hyundai;Creta;App;Santa Cruz;2024-05-16 06:24:52;2024-05-16 18:24:52
Murilo Monteiro;Jeep;Renegade;Dinheiro;Centro;2023-06-08 06:15:38;2023-06-08 15:15:38
Arthur Rodrigues;Jeep;Compass;Dinheiro;Urca;2024-09-07 09:56:12;2024-09-07 10:56:12
Paulo Dias;Jeep;Compass;Cartão;Vila Isabel;2024-03-10 21:29:46;2024-03-11 07:29:46
Lucas Almeida;Honda;Fit;Dinheiro;Vila Isabel;2023-02-21 05:07:43;2023-02-21 07:07:43
Tania Reis;Chevrolet;Cruze;App;Centro;2023-03-24 00:22:43;2023-03-24 05:22:43
Davi Araujo;Hyundai;HB20;App;Gávea;2023-05-15 17:28:16;2023-05-16 04:28:16
Miguel Machado;Ford;Ka;Cartão;Bangu;2024-04-30 01:23:17;2024-04-30 02:23:17
Lucas Rodrigues;Jeep;Renegade;Dinheiro;Ipanema;2023-10-29 11:07:10;2023-10-29 21:07:10
Pedro Silva;Ford;Ka;Cartão;Copacabana;2023-04-07 19:40:43;2023-04-07 20:40:43
